breed,weight_kg,age_yr,activity,neutered,allergies,symptoms,conditions,kcal,pct_protein,pct_fat,pct_carb,meal_name,ingredients
golden retriever,32,14,low,1,fish,diarrhea,none,1060,20,23,57,Duck & Lentils,"spinach, turkey, beans"
beagle,41,4,low,1,soy,soft stool,none,1830,31,30,39,Paneer & Veg Mix,"salmon, quinoa, chicken"
siberian husky,59,13,low,0,dairy,soft stool,obesity,1769,24,34,42,Chicken & Sweet Potato,"turkey, pumpkin, spinach"
beagle,23,9,medium,0,chicken,itchy paws,none,1812,25,20,55,Chicken & Sweet Potato,"salmon, egg, lentils"
poodle,30,13,medium,0,beef,none,diabetes,2321,20,28,52,Tofu & Veggie Stew,"beans, dairy, tofu"
great dane,56,2,high,0,wheat,none,heart disease,1454,20,30,50,Duck & Lentils,"beef, egg, carrot"
yorkshire terrier,30,12,low,1,dairy,none,allergies,1855,29,38,33,Beef & Barley,"tofu, oats, beans"
rottweiler,29,10,high,0,soy,waxy ears,diabetes,2050,29,32,39,Chicken & Sweet Potato,"chicken, beef, quinoa"
siberian husky,30,12,medium,0,chicken,soft stool,heart disease,1349,22,35,43,Lamb & Oats,"egg, tofu, lamb"
labrador retriever,30,4,medium,0,chicken,diarrhea,heart disease,1778,36,23,41,Turkey & Rice Bowl,"mackerel, spinach, peas"
siberian husky,50,5,medium,0,fish,soft stool,none,1103,38,20,42,Duck & Lentils,"potato, dairy, salmon"
poodle,32,2,low,1,dairy,dry skin,arthritis,2033,30,39,31,Chicken & Sweet Potato,"peas, salmon, beef"
rottweiler,53,10,low,0,soy,waxy ears,arthritis,2314,37,32,31,Duck & Lentils,"quinoa, barley, oats"
doberman,22,1,medium,1,chicken,none,none,2241,21,20,59,Egg & Pumpkin Mix,"beans, pumpkin, rice"
rottweiler,36,7,high,0,wheat,vomiting,none,1105,28,24,48,Paneer & Veg Mix,"salmon, zucchini, beef"
dachshund,57,10,high,1,chicken,itchy paws,obesity,2260,36,24,40,Chicken & Sweet Potato,"spinach, rice, beans"
siberian husky,7,1,medium,1,soy,waxy ears,obesity,2336,33,33,34,Paneer & Veg Mix,"chicken, lamb, beans"
siberian husky,6,11,high,0,beef,dry skin,allergies,1329,23,33,44,Mackerel & Quinoa,"rice, potato, tofu"
boxer,37,11,medium,1,beef,none,allergies,1986,36,27,37,Turkey & Rice Bowl,"salmon, dairy, potato"
bulldog,46,8,high,0,fish,dry skin,allergies,1722,36,23,41,Tofu & Veggie Stew,"tofu, dairy, egg"
labrador retriever,23,3,medium,1,dairy,dry skin,allergies,1794,31,26,43,Paneer & Veg Mix,"barley, beans, mackerel"
german shepherd,21,14,high,1,soy,none,heart disease,1245,39,39,22,Chicken & Sweet Potato,"beans, carrot, mackerel"
pomeranian,48,10,low,1,fish,dry skin,heart disease,1057,37,38,25,Salmon & Brown Rice,"barley, rice, spinach"
golden retriever,37,6,medium,0,none,diarrhea,obesity,563,22,34,44,Tofu & Veggie Stew,"potato, pumpkin, quinoa"
bulldog,16,7,medium,1,chicken,itchy paws,arthritis,1753,30,23,47,Tofu & Veggie Stew,"beef, mackerel, beans"
dachshund,53,10,high,0,none,vomiting,none,1441,37,38,25,Beef & Barley,"egg, lentils, beans"
siberian husky,7,1,medium,1,chicken,dry skin,arthritis,2475,23,28,49,Paneer & Veg Mix,"turkey, spinach, zucchini"
pomeranian,47,14,medium,1,beef,dry skin,diabetes,748,36,32,32,Salmon & Brown Rice,"beef, turkey, quinoa"
labrador retriever,53,6,medium,1,fish,soft stool,heart disease,1769,37,33,30,Paneer & Veg Mix,"oats, dairy, quinoa"
beagle,59,7,low,1,beef,itchy paws,allergies,1439,24,33,43,Beef & Barley,"quinoa, chicken, peas"
bulldog,30,6,low,1,wheat,waxy ears,allergies,2110,33,29,38,Turkey & Rice Bowl,"tofu, carrot, zucchini"
beagle,39,4,high,1,none,itchy paws,diabetes,656,29,35,36,Chicken & Sweet Potato,"chicken, salmon, beans"
golden retriever,12,1,low,0,none,itchy paws,arthritis,1234,34,24,42,Egg & Pumpkin Mix,"quinoa, salmon, beans"
pomeranian,56,11,high,0,beef,none,allergies,2225,20,25,55,Egg & Pumpkin Mix,"quinoa, beans, oats"
shih tzu,40,9,low,0,wheat,none,arthritis,1484,35,21,44,Paneer & Veg Mix,"egg, chicken, quinoa"
beagle,57,4,high,1,chicken,none,none,2087,30,32,38,Beef & Barley,"carrot, lentils, oats"
golden retriever,58,7,low,0,fish,vomiting,diabetes,2473,39,32,29,Duck & Lentils,"oats, carrot, potato"
shih tzu,11,7,low,1,wheat,itchy paws,arthritis,1611,25,38,37,Chicken & Sweet Potato,"oats, zucchini, carrot"
pomeranian,50,2,high,0,fish,vomiting,none,1836,35,37,28,Paneer & Veg Mix,"barley, rice, oats"
great dane,50,1,medium,0,none,dry skin,arthritis,2374,21,38,41,Duck & Lentils,"tofu, barley, carrot"
great dane,40,8,medium,1,fish,none,arthritis,1589,20,20,60,Chicken & Sweet Potato,"dairy, potato, chicken"
pomeranian,20,8,low,1,none,dry skin,allergies,1161,28,27,45,Duck & Lentils,"beef, peas, salmon"
pomeranian,28,7,high,0,wheat,none,obesity,1543,31,35,34,Tofu & Veggie Stew,"lamb, tofu, oats"
labrador retriever,58,14,medium,0,none,diarrhea,heart disease,532,36,21,43,Paneer & Veg Mix,"rice, tofu, carrot"
doberman,5,8,high,0,dairy,vomiting,arthritis,2363,34,27,39,Beef & Barley,"turkey, pumpkin, rice"
yorkshire terrier,53,3,medium,0,none,vomiting,arthritis,2316,38,25,37,Chicken & Sweet Potato,"tofu, barley, egg"
golden retriever,29,11,high,1,beef,waxy ears,arthritis,1057,29,35,36,Egg & Pumpkin Mix,"chicken, rice, tofu"
rottweiler,14,2,low,0,wheat,soft stool,obesity,572,31,30,39,Paneer & Veg Mix,"potato, rice, beef"
german shepherd,58,7,high,1,chicken,itchy paws,none,2389,33,36,31,Chicken & Sweet Potato,"oats, mackerel, chicken"
german shepherd,20,8,medium,1,fish,waxy ears,diabetes,1324,28,38,34,Chicken & Sweet Potato,"beans, zucchini, oats"
poodle,20,1,low,0,soy,vomiting,allergies,1866,32,30,38,Duck & Lentils,"potato, dairy, rice"
shih tzu,12,12,high,1,wheat,waxy ears,obesity,1656,22,27,51,Duck & Lentils,"carrot, beef, tofu"
german shepherd,33,10,medium,0,beef,diarrhea,none,1578,33,23,44,Salmon & Brown Rice,"quinoa, potato, egg"
pomeranian,43,9,low,1,none,soft stool,arthritis,560,29,30,41,Paneer & Veg Mix,"pumpkin, lentils, oats"
pomeranian,32,13,high,1,fish,vomiting,none,2380,35,27,38,Mackerel & Quinoa,"zucchini, turkey, beef"
poodle,10,11,medium,0,dairy,vomiting,obesity,2043,26,28,46,Lamb & Oats,"mackerel, beans, oats"
siberian husky,20,4,high,1,chicken,itchy paws,obesity,771,23,21,56,Mackerel & Quinoa,"quinoa, potato, mackerel"
pomeranian,24,14,high,1,dairy,none,obesity,745,39,35,26,Chicken & Sweet Potato,"rice, barley, chicken"
german shepherd,20,12,low,0,soy,soft stool,diabetes,1699,30,25,45,Salmon & Brown Rice,"mackerel, chicken, quinoa"
golden retriever,11,14,low,1,wheat,diarrhea,heart disease,1127,35,38,27,Chicken & Sweet Potato,"rice, lentils, pumpkin"
rottweiler,45,4,medium,1,fish,dry skin,allergies,1840,39,27,34,Mackerel & Quinoa,"beans, zucchini, quinoa"
yorkshire terrier,18,3,low,0,wheat,waxy ears,diabetes,2306,23,33,44,Chicken & Sweet Potato,"chicken, tofu, peas"
pomeranian,47,6,medium,0,beef,itchy paws,diabetes,1204,36,35,29,Duck & Lentils,"tofu, beans, zucchini"
beagle,30,1,high,1,wheat,vomiting,heart disease,1161,32,31,37,Paneer & Veg Mix,"beans, potato, beef"
shih tzu,30,6,high,1,chicken,dry skin,diabetes,1654,30,24,46,Egg & Pumpkin Mix,"lentils, oats, dairy"
pomeranian,18,2,medium,1,soy,diarrhea,obesity,1625,22,38,40,Mackerel & Quinoa,"egg, turkey, lamb"
great dane,11,9,high,0,dairy,soft stool,obesity,809,28,37,35,Lamb & Oats,"barley, quinoa, zucchini"
dachshund,37,2,low,1,soy,waxy ears,none,2305,25,28,47,Lamb & Oats,"peas, rice, mackerel"
german shepherd,30,7,high,1,fish,itchy paws,arthritis,1815,30,21,49,Duck & Lentils,"potato, tofu, barley"
yorkshire terrier,49,12,low,1,wheat,vomiting,diabetes,2245,35,39,26,Paneer & Veg Mix,"mackerel, potato, quinoa"
yorkshire terrier,24,1,medium,1,fish,vomiting,arthritis,994,38,31,31,Turkey & Rice Bowl,"chicken, salmon, lamb"
great dane,7,12,medium,1,dairy,dry skin,allergies,1884,24,21,55,Turkey & Rice Bowl,"carrot, beef, lentils"
shih tzu,56,7,high,1,fish,dry skin,obesity,837,33,29,38,Beef & Barley,"turkey, pumpkin, tofu"
golden retriever,8,5,high,0,beef,waxy ears,none,1078,36,20,44,Beef & Barley,"chicken, rice, lentils"
labrador retriever,30,8,low,0,soy,soft stool,allergies,509,22,23,55,Mackerel & Quinoa,"salmon, spinach, potato"
great dane,15,4,low,1,dairy,diarrhea,none,548,23,31,46,Duck & Lentils,"chicken, beef, beans"
labrador retriever,6,12,high,1,dairy,none,heart disease,2010,35,28,37,Duck & Lentils,"mackerel, chicken, dairy"
german shepherd,18,10,high,0,none,soft stool,obesity,1122,35,23,42,Chicken & Sweet Potato,"mackerel, lamb, zucchini"
shih tzu,48,7,medium,0,dairy,soft stool,allergies,1844,23,28,49,Lamb & Oats,"dairy, salmon, mackerel"
pomeranian,34,6,medium,0,none,soft stool,heart disease,1230,38,25,37,Lamb & Oats,"turkey, tofu, lentils"
doberman,53,5,medium,1,chicken,none,allergies,2092,36,20,44,Lamb & Oats,"dairy, egg, beans"
shih tzu,16,4,high,1,none,waxy ears,none,1294,32,29,39,Salmon & Brown Rice,"potato, zucchini, egg"
dachshund,30,7,high,1,soy,none,heart disease,1470,20,33,47,Paneer & Veg Mix,"barley, beef, carrot"
great dane,48,12,high,1,fish,waxy ears,heart disease,2148,31,37,32,Tofu & Veggie Stew,"turkey, barley, mackerel"
german shepherd,37,5,medium,0,none,none,obesity,632,23,25,52,Chicken & Sweet Potato,"lamb, lentils, tofu"
german shepherd,17,5,high,0,dairy,diarrhea,arthritis,2106,30,37,33,Turkey & Rice Bowl,"pumpkin, potato, beef"
poodle,18,1,low,0,soy,soft stool,none,582,24,39,37,Duck & Lentils,"egg, dairy, tofu"
rottweiler,28,2,high,0,none,waxy ears,none,556,21,35,44,Turkey & Rice Bowl,"chicken, barley, quinoa"
great dane,38,5,high,1,none,none,heart disease,875,36,34,30,Salmon & Brown Rice,"oats, beef, pumpkin"
rottweiler,48,13,high,1,dairy,diarrhea,heart disease,848,27,35,38,Turkey & Rice Bowl,"lentils, tofu, egg"
pomeranian,30,3,high,0,beef,none,obesity,770,25,27,48,Lamb & Oats,"quinoa, dairy, turkey"
great dane,25,14,high,0,beef,vomiting,arthritis,2006,28,32,40,Egg & Pumpkin Mix,"spinach, peas, rice"
dachshund,32,13,low,0,none,diarrhea,none,610,32,30,38,Chicken & Sweet Potato,"lamb, spinach, pumpkin"
poodle,52,2,low,0,beef,soft stool,diabetes,1368,30,26,44,Egg & Pumpkin Mix,"oats, barley, lamb"
shih tzu,40,14,high,0,wheat,itchy paws,diabetes,1386,35,36,29,Beef & Barley,"egg, potato, chicken"
yorkshire terrier,44,14,medium,1,dairy,soft stool,arthritis,575,35,37,28,Egg & Pumpkin Mix,"lentils, zucchini, carrot"
siberian husky,6,4,high,1,wheat,itchy paws,allergies,1681,21,38,41,Tofu & Veggie Stew,"spinach, egg, barley"
poodle,46,4,high,0,soy,diarrhea,obesity,2055,29,32,39,Duck & Lentils,"dairy, turkey, spinach"
german shepherd,13,4,high,0,wheat,vomiting,arthritis,2456,31,34,35,Salmon & Brown Rice,"pumpkin, turkey, chicken"
labrador retriever,27,4,medium,0,soy,vomiting,diabetes,2166,27,20,53,Duck & Lentils,"spinach, dairy, peas"
bulldog,19,3,medium,1,none,waxy ears,heart disease,828,30,35,35,Tofu & Veggie Stew,"dairy, potato, zucchini"
shih tzu,17,13,medium,1,soy,vomiting,diabetes,621,29,24,47,Duck & Lentils,"lamb, salmon, lentils"
dachshund,27,12,low,1,soy,dry skin,heart disease,540,32,22,46,Egg & Pumpkin Mix,"barley, beans, peas"
yorkshire terrier,21,7,medium,0,fish,diarrhea,obesity,1690,36,29,35,Paneer & Veg Mix,"salmon, zucchini, turkey"
shih tzu,52,9,low,1,wheat,waxy ears,heart disease,1421,26,38,36,Duck & Lentils,"spinach, beans, salmon"
great dane,6,12,low,0,fish,vomiting,arthritis,1141,22,24,54,Beef & Barley,"carrot, oats, mackerel"
golden retriever,24,5,medium,1,none,diarrhea,heart disease,1546,39,26,35,Chicken & Sweet Potato,"dairy, beans, lamb"
bulldog,24,4,medium,1,dairy,soft stool,allergies,778,32,33,35,Chicken & Sweet Potato,"potato, beef, salmon"
great dane,50,11,medium,1,wheat,vomiting,arthritis,1262,38,22,40,Turkey & Rice Bowl,"potato, oats, barley"
bulldog,7,2,low,0,dairy,none,obesity,968,26,32,42,Mackerel & Quinoa,"turkey, quinoa, carrot"
poodle,59,2,high,0,dairy,itchy paws,arthritis,1923,28,32,40,Egg & Pumpkin Mix,"zucchini, peas, egg"
beagle,16,5,medium,1,soy,diarrhea,allergies,508,38,29,33,Lamb & Oats,"oats, chicken, lentils"
bulldog,44,7,medium,0,wheat,waxy ears,obesity,512,32,21,47,Tofu & Veggie Stew,"spinach, barley, beef"
german shepherd,6,10,medium,0,dairy,soft stool,diabetes,1423,27,25,48,Salmon & Brown Rice,"egg, zucchini, mackerel"
boxer,40,10,low,0,beef,dry skin,allergies,1422,37,27,36,Egg & Pumpkin Mix,"salmon, dairy, spinach"
labrador retriever,18,9,low,0,dairy,soft stool,obesity,2342,21,23,56,Chicken & Sweet Potato,"oats, spinach, turkey"
siberian husky,20,13,high,0,beef,vomiting,heart disease,2355,37,31,32,Turkey & Rice Bowl,"turkey, beans, mackerel"
labrador retriever,23,7,medium,0,wheat,itchy paws,arthritis,1575,37,34,29,Duck & Lentils,"egg, lamb, pumpkin"
boxer,38,5,low,0,none,soft stool,obesity,1732,30,27,43,Lamb & Oats,"oats, egg, peas"
rottweiler,48,10,high,1,fish,dry skin,arthritis,2073,20,26,54,Lamb & Oats,"mackerel, egg, barley"
german shepherd,50,10,medium,0,wheat,none,heart disease,2135,33,33,34,Mackerel & Quinoa,"egg, oats, mackerel"
golden retriever,10,10,low,0,fish,waxy ears,obesity,2228,35,38,27,Paneer & Veg Mix,"mackerel, rice, lamb"
bulldog,17,6,medium,1,fish,diarrhea,diabetes,1925,30,33,37,Mackerel & Quinoa,"zucchini, barley, peas"
rottweiler,40,11,medium,1,wheat,itchy paws,allergies,1714,20,32,48,Duck & Lentils,"spinach, salmon, potato"
german shepherd,26,12,low,1,dairy,dry skin,obesity,1574,26,20,54,Egg & Pumpkin Mix,"tofu, dairy, turkey"
shih tzu,22,3,low,1,chicken,vomiting,heart disease,1916,35,38,27,Beef & Barley,"zucchini, spinach, lamb"
poodle,16,5,low,0,dairy,vomiting,obesity,1152,33,20,47,Tofu & Veggie Stew,"carrot, lamb, beans"
labrador retriever,56,8,medium,1,dairy,vomiting,arthritis,2203,34,23,43,Lamb & Oats,"chicken, mackerel, pumpkin"
rottweiler,58,1,medium,1,none,itchy paws,none,2346,33,29,38,Salmon & Brown Rice,"lentils, peas, beef"
dachshund,34,12,high,0,soy,soft stool,obesity,1120,30,22,48,Egg & Pumpkin Mix,"beans, peas, tofu"
bulldog,57,1,medium,0,soy,itchy paws,diabetes,2242,35,39,26,Salmon & Brown Rice,"carrot, beans, pumpkin"
bulldog,55,7,low,0,dairy,vomiting,obesity,2462,38,28,34,Turkey & Rice Bowl,"salmon, spinach, egg"
golden retriever,44,14,medium,1,beef,none,allergies,1823,36,22,42,Salmon & Brown Rice,"egg, potato, beef"
beagle,11,5,high,0,none,dry skin,obesity,2145,25,25,50,Lamb & Oats,"carrot, lamb, egg"
dachshund,36,14,high,1,fish,diarrhea,none,695,30,25,45,Lamb & Oats,"pumpkin, mackerel, quinoa"
bulldog,52,5,low,0,soy,diarrhea,arthritis,916,36,31,33,Lamb & Oats,"peas, lamb, egg"
yorkshire terrier,23,1,low,0,dairy,itchy paws,obesity,1163,28,20,52,Egg & Pumpkin Mix,"peas, lamb, tofu"
dachshund,10,9,high,1,none,vomiting,diabetes,1943,37,35,28,Egg & Pumpkin Mix,"chicken, zucchini, pumpkin"
bulldog,24,1,high,0,chicken,waxy ears,heart disease,2278,36,24,40,Tofu & Veggie Stew,"mackerel, lamb, chicken"
boxer,31,5,high,0,beef,none,obesity,2163,31,28,41,Chicken & Sweet Potato,"quinoa, beef, peas"
dachshund,57,10,low,0,wheat,itchy paws,obesity,2140,24,29,47,Paneer & Veg Mix,"chicken, zucchini, pumpkin"
german shepherd,47,9,high,0,dairy,vomiting,allergies,2045,30,32,38,Duck & Lentils,"spinach, egg, rice"
dachshund,41,14,high,0,none,soft stool,diabetes,1879,23,34,43,Duck & Lentils,"salmon, pumpkin, zucchini"
siberian husky,52,4,low,1,dairy,diarrhea,none,647,23,31,46,Turkey & Rice Bowl,"peas, egg, zucchini"
golden retriever,11,13,medium,1,fish,diarrhea,heart disease,1500,22,24,54,Mackerel & Quinoa,"potato, lamb, spinach"
poodle,9,8,medium,0,beef,none,arthritis,1888,36,24,40,Tofu & Veggie Stew,"lentils, lamb, turkey"
poodle,15,6,high,1,soy,diarrhea,obesity,863,26,37,37,Chicken & Sweet Potato,"oats, quinoa, spinach"
poodle,19,11,medium,1,soy,waxy ears,none,2494,23,31,46,Beef & Barley,"carrot, beans, chicken"
german shepherd,7,3,medium,1,soy,vomiting,heart disease,2175,32,22,46,Turkey & Rice Bowl,"potato, zucchini, oats"
rottweiler,9,4,medium,0,wheat,vomiting,arthritis,2225,31,26,43,Egg & Pumpkin Mix,"lentils, peas, tofu"
great dane,27,2,medium,0,none,none,none,901,20,36,44,Chicken & Sweet Potato,"turkey, zucchini, dairy"
poodle,57,1,high,0,beef,vomiting,diabetes,1105,38,38,24,Lamb & Oats,"beef, egg, peas"
siberian husky,41,13,medium,1,beef,none,diabetes,2015,39,37,24,Egg & Pumpkin Mix,"beef, egg, oats"
shih tzu,13,14,medium,1,soy,vomiting,heart disease,728,37,20,43,Mackerel & Quinoa,"egg, peas, lamb"
labrador retriever,19,8,low,0,soy,waxy ears,arthritis,2098,30,24,46,Mackerel & Quinoa,"beef, rice, lentils"
german shepherd,7,1,high,0,fish,dry skin,diabetes,2375,39,21,40,Duck & Lentils,"dairy, barley, oats"
rottweiler,33,14,low,1,chicken,itchy paws,heart disease,1036,22,20,58,Paneer & Veg Mix,"zucchini, barley, chicken"
labrador retriever,10,13,low,1,chicken,itchy paws,diabetes,767,36,26,38,Paneer & Veg Mix,"beef, zucchini, oats"
pomeranian,21,11,high,0,dairy,vomiting,diabetes,1928,31,30,39,Beef & Barley,"barley, pumpkin, egg"
labrador retriever,30,1,medium,1,dairy,soft stool,none,2316,29,30,41,Egg & Pumpkin Mix,"lamb, oats, lentils"
labrador retriever,25,4,low,1,beef,diarrhea,none,1534,27,37,36,Egg & Pumpkin Mix,"oats, carrot, potato"
yorkshire terrier,12,10,high,1,beef,waxy ears,diabetes,1843,34,36,30,Mackerel & Quinoa,"turkey, egg, salmon"
golden retriever,25,12,medium,1,wheat,soft stool,allergies,2236,24,21,55,Lamb & Oats,"quinoa, lamb, potato"
golden retriever,15,10,high,1,wheat,soft stool,none,625,23,26,51,Lamb & Oats,"beans, barley, lentils"
great dane,42,6,low,1,chicken,vomiting,arthritis,805,39,26,35,Salmon & Brown Rice,"potato, rice, turkey"
german shepherd,12,9,medium,1,dairy,waxy ears,heart disease,2225,38,29,33,Lamb & Oats,"oats, salmon, spinach"
siberian husky,46,1,medium,0,chicken,itchy paws,heart disease,2034,23,22,55,Chicken & Sweet Potato,"rice, mackerel, zucchini"
siberian husky,28,7,high,0,chicken,diarrhea,arthritis,1612,34,31,35,Paneer & Veg Mix,"dairy, salmon, peas"
siberian husky,39,10,medium,1,dairy,itchy paws,arthritis,1878,36,22,42,Lamb & Oats,"mackerel, egg, barley"
labrador retriever,59,11,low,1,none,soft stool,arthritis,1127,31,30,39,Tofu & Veggie Stew,"egg, chicken, dairy"
doberman,18,5,low,1,wheat,diarrhea,arthritis,1875,22,31,47,Egg & Pumpkin Mix,"potato, rice, lamb"
boxer,59,12,low,0,fish,dry skin,obesity,1188,29,23,48,Lamb & Oats,"barley, quinoa, mackerel"
dachshund,18,8,high,0,fish,soft stool,heart disease,1537,34,35,31,Salmon & Brown Rice,"beans, peas, lamb"
rottweiler,14,14,medium,1,fish,itchy paws,obesity,1780,29,39,32,Beef & Barley,"salmon, potato, beef"
golden retriever,16,7,medium,0,dairy,itchy paws,diabetes,1732,37,37,26,Beef & Barley,"mackerel, beef, spinach"
doberman,42,4,medium,1,soy,vomiting,diabetes,780,20,23,57,Mackerel & Quinoa,"mackerel, beans, rice"
poodle,48,4,low,1,soy,itchy paws,heart disease,942,22,25,53,Lamb & Oats,"beef, beans, chicken"
shih tzu,59,6,medium,1,soy,waxy ears,diabetes,2363,31,34,35,Egg & Pumpkin Mix,"rice, lamb, turkey"
german shepherd,50,6,low,1,beef,soft stool,arthritis,1336,20,20,60,Egg & Pumpkin Mix,"barley, tofu, peas"
rottweiler,38,9,medium,1,wheat,none,obesity,888,22,22,56,Paneer & Veg Mix,"rice, tofu, turkey"
german shepherd,45,12,low,1,wheat,none,arthritis,1116,22,24,54,Beef & Barley,"potato, spinach, turkey"
boxer,14,5,medium,1,none,diarrhea,diabetes,2006,24,36,40,Mackerel & Quinoa,"turkey, beans, barley"
yorkshire terrier,21,8,high,0,none,itchy paws,none,646,38,33,29,Lamb & Oats,"lamb, quinoa, egg"
yorkshire terrier,21,5,high,1,beef,vomiting,obesity,1802,20,28,52,Beef & Barley,"beans, egg, spinach"
labrador retriever,7,2,low,0,chicken,vomiting,arthritis,1020,23,22,55,Beef & Barley,"potato, turkey, beans"
great dane,35,6,low,1,none,itchy paws,heart disease,1129,23,32,45,Egg & Pumpkin Mix,"spinach, quinoa, oats"
yorkshire terrier,55,9,medium,1,fish,waxy ears,arthritis,2129,36,22,42,Lamb & Oats,"zucchini, peas, beef"
german shepherd,5,13,medium,0,soy,vomiting,none,933,33,30,37,Turkey & Rice Bowl,"barley, chicken, mackerel"
poodle,16,3,high,0,fish,none,diabetes,643,37,21,42,Lamb & Oats,"rice, zucchini, egg"
great dane,43,1,medium,1,soy,diarrhea,obesity,788,20,34,46,Chicken & Sweet Potato,"peas, lentils, chicken"
labrador retriever,8,1,low,0,fish,soft stool,heart disease,1909,35,32,33,Beef & Barley,"spinach, beans, oats"
bulldog,46,13,low,1,chicken,dry skin,obesity,513,22,38,40,Paneer & Veg Mix,"dairy, turkey, carrot"
siberian husky,17,3,low,1,fish,waxy ears,heart disease,756,28,35,37,Turkey & Rice Bowl,"beef, zucchini, spinach"
rottweiler,38,10,low,0,fish,vomiting,obesity,1869,23,37,40,Salmon & Brown Rice,"pumpkin, barley, lamb"
great dane,46,5,low,0,dairy,soft stool,diabetes,2221,24,26,50,Mackerel & Quinoa,"potato, mackerel, dairy"
boxer,25,3,high,0,fish,dry skin,heart disease,1868,30,32,38,Lamb & Oats,"dairy, mackerel, oats"
labrador retriever,26,9,high,0,dairy,itchy paws,allergies,1923,28,23,49,Paneer & Veg Mix,"spinach, egg, pumpkin"
pomeranian,8,8,low,1,wheat,itchy paws,obesity,1730,22,28,50,Salmon & Brown Rice,"tofu, turkey, rice"
german shepherd,22,3,medium,0,beef,diarrhea,obesity,1357,25,29,46,Salmon & Brown Rice,"zucchini, salmon, tofu"
rottweiler,9,9,low,0,fish,dry skin,arthritis,1442,30,28,42,Beef & Barley,"beans, mackerel, oats"
poodle,23,13,high,0,wheat,itchy paws,heart disease,1695,28,26,46,Chicken & Sweet Potato,"chicken, turkey, mackerel"
beagle,6,6,low,0,none,itchy paws,none,963,34,34,32,Beef & Barley,"tofu, carrot, salmon"
shih tzu,16,13,high,0,none,none,allergies,769,22,27,51,Mackerel & Quinoa,"zucchini, oats, tofu"
boxer,21,7,high,1,dairy,vomiting,diabetes,1744,20,38,42,Turkey & Rice Bowl,"beans, dairy, salmon"
german shepherd,14,4,low,1,fish,diarrhea,arthritis,1675,39,30,31,Egg & Pumpkin Mix,"chicken, carrot, peas"
boxer,38,4,low,0,fish,soft stool,allergies,1122,38,24,38,Tofu & Veggie Stew,"zucchini, tofu, spinach"
golden retriever,10,12,medium,0,chicken,itchy paws,heart disease,1706,33,21,46,Turkey & Rice Bowl,"barley, oats, spinach"
beagle,12,13,high,1,wheat,none,allergies,1922,36,29,35,Mackerel & Quinoa,"spinach, zucchini, dairy"
rottweiler,55,2,medium,0,soy,waxy ears,obesity,2374,33,35,32,Egg & Pumpkin Mix,"salmon, rice, quinoa"
yorkshire terrier,15,5,low,1,soy,waxy ears,obesity,571,36,32,32,Salmon & Brown Rice,"egg, lentils, salmon"
german shepherd,16,8,high,1,chicken,soft stool,arthritis,1941,33,27,40,Turkey & Rice Bowl,"carrot, zucchini, salmon"
boxer,13,7,medium,0,dairy,dry skin,heart disease,2421,31,28,41,Egg & Pumpkin Mix,"lentils, potato, barley"
rottweiler,6,7,medium,1,soy,diarrhea,heart disease,1806,35,30,35,Lamb & Oats,"spinach, chicken, rice"
yorkshire terrier,12,6,medium,0,soy,none,allergies,573,20,30,50,Beef & Barley,"quinoa, pumpkin, beef"
poodle,15,3,low,0,none,vomiting,arthritis,854,32,35,33,Tofu & Veggie Stew,"potato, dairy, carrot"
poodle,57,5,low,1,none,none,heart disease,2250,25,29,46,Paneer & Veg Mix,"tofu, lentils, beef"
boxer,40,13,low,1,beef,waxy ears,none,996,36,31,33,Lamb & Oats,"chicken, salmon, carrot"
labrador retriever,14,1,high,0,wheat,waxy ears,none,1851,31,25,44,Turkey & Rice Bowl,"tofu, spinach, turkey"
golden retriever,25,7,low,1,dairy,soft stool,obesity,1487,38,31,31,Duck & Lentils,"salmon, lamb, barley"
shih tzu,24,9,high,0,fish,dry skin,allergies,2058,25,29,46,Egg & Pumpkin Mix,"turkey, salmon, tofu"
labrador retriever,52,1,medium,1,wheat,dry skin,diabetes,1079,26,37,37,Salmon & Brown Rice,"lentils, chicken, beef"
golden retriever,12,13,medium,1,dairy,soft stool,obesity,1409,20,37,43,Salmon & Brown Rice,"spinach, lentils, pumpkin"
german shepherd,40,2,low,0,soy,none,arthritis,1970,20,23,57,Duck & Lentils,"salmon, tofu, peas"
siberian husky,33,3,medium,0,beef,waxy ears,heart disease,872,24,28,48,Turkey & Rice Bowl,"egg, lentils, spinach"
great dane,46,3,low,0,wheat,none,obesity,861,25,26,49,Salmon & Brown Rice,"beef, rice, oats"
bulldog,16,8,high,1,soy,none,diabetes,592,35,37,28,Chicken & Sweet Potato,"chicken, beef, rice"
boxer,18,7,medium,0,dairy,diarrhea,diabetes,1844,35,27,38,Salmon & Brown Rice,"lentils, potato, peas"
shih tzu,52,6,low,0,wheat,waxy ears,none,823,33,30,37,Tofu & Veggie Stew,"barley, pumpkin, chicken"
dachshund,58,10,medium,1,fish,dry skin,arthritis,883,20,26,54,Chicken & Sweet Potato,"peas, dairy, carrot"
siberian husky,54,10,medium,1,wheat,vomiting,obesity,1074,32,28,40,Mackerel & Quinoa,"quinoa, carrot, dairy"
pomeranian,25,11,low,0,soy,none,allergies,1235,39,27,34,Mackerel & Quinoa,"dairy, egg, spinach"
